"id","nsecode","name","bsecode","per_chg","close","volume","date","time","igroup_name","create_at"
"52","TANLA","Tanla Solutions Limited",532790,"0.1","999","466668","2024-07-16","09:42:35","IT - Software","2024-07-16 09:42:35.889864+05:30"
"53","STEELCAS","Steelcast Ltd",513517,"3.58","679.5","6324","2024-07-16","09:42:35","Castings, Forgings & Fastners","2024-07-16 09:42:35.889864+05:30"
"54","MONARCH","Monarch Networth Capital Ltd",511551,"3.48","581.1","296495","2024-07-16","09:42:35","Stock/ Commodity Brokers","2024-07-16 09:42:35.889864+05:30"
"55","CYBERTECH","Cybertech Systems And Software Limited",532173,"2.75","204.8","761331","2024-07-16","09:42:35","IT - Software","2024-07-16 09:42:35.889864+05:30"
"56","GEOJITFSL","Geojit Financial Services",532285,"-0.67","120.75","2069026","2024-07-16","09:42:35","Stock/ Commodity Brokers","2024-07-16 09:42:35.889864+05:30"
"57","ABSLAMC","Aditya Birla Sun Life AMC Ltd",543374,"2.89","716.95","161376","2024-07-16","09:43:12","Finance","2024-07-16 09:43:12.33154+05:30"
"58","HGINFRA","H.G. Infra Engineering Ltd",541019,"8.15","1857.15","447172","2024-07-16","10:10:44","Infrastructure Developers & Operators","2024-07-16 10:10:44.626838+05:30"
"59","BAJAJCON","Bajaj Consumer Care Ltd",533229,"2.14","281.1","310776","2024-07-16","10:24:23","FMCG","2024-07-16 10:24:23.454919+05:30"
"60","GPIL","Godawari Power And Ispat Limited",532734,"7.95","1205.9","751816","2024-07-16","10:28:14","Steel","2024-07-16 10:28:15.023669+05:30"
"61","KPRMILL","K.p.r. Mill Limited",532889,"6.95","892","341026","2024-07-16","13:16:29","Readymade Garments/ Apparells","2024-07-16 13:16:29.294944+05:30"
"62","HINDUNILVR","Hindustan Unilever Limited",500696,"3.97","2724.3","1973668","2024-07-16","13:22:27","FMCG","2024-07-16 13:22:28.005509+05:30"
"63","BAJAJ-AUTO","Bajaj Auto Limited",532977,"1.7","9838.15","433917","2024-07-16","13:46:13","Automobile","2024-07-16 13:46:13.067843+05:30"
"64","SHAREINDIA","Share India Securities Ltd",540725,"3.55","313.8","1156526","2024-07-16","15:09:35","Stock/ Commodity Brokers","2024-07-16 15:09:35.23436+05:30"
"82","ABBOTINDIA","Abbott India Limited",500488,"0.13","28626.9","171","2024-07-18","09:21:17","Pharmaceuticals","2024-07-18 09:21:21.619952+05:30"
"83","BAJAJ-AUTO","Bajaj Auto Limited",532977,"-1.45","9577.7","27191","2024-07-18","09:21:17","Automobile","2024-07-18 09:21:21.619952+05:30"
"84","GILLETTE","Gillette India Limited",507815,"0.2","7748","155","2024-07-18","09:21:17","FMCG","2024-07-18 09:21:21.619952+05:30"
"85","LTIM","LTI Mindtree Ltd",540005,"2.47","5700","101329","2024-07-18","09:21:17","IT - Software","2024-07-18 09:21:21.619952+05:30"
"86","HINDUNILVR","Hindustan Unilever Limited",500696,"-0.2","2683.05","99109","2024-07-18","09:21:17","FMCG","2024-07-18 09:21:21.619952+05:30"
"87","MAPMYINDIA","C.E. Info Systems Ltd",543425,"-1.43","2442.15","4451","2024-07-18","09:21:17","IT - Software","2024-07-18 09:21:21.619952+05:30"
"88","SAFARI","Safari Industries (India) Ltd",523025,"-0.73","2133.8","165","2024-07-18","09:21:17","Plastic products","2024-07-18 09:21:21.619952+05:30"
"89","RPGLIFE","Rpg Life Sciences Limited",532983,"-2.11","1788.7","3993","2024-07-18","09:21:17","Pharmaceuticals","2024-07-18 09:21:21.619952+05:30"
"90","HGINFRA","H.G. Infra Engineering Ltd",541019,"-0.32","1774.75","13784","2024-07-18","09:21:17","Infrastructure Developers & Operators","2024-07-18 09:21:21.619952+05:30"
"91","TANLA","Tanla Solutions Limited",532790,"-0.6","997","14974","2024-07-18","09:21:17","IT - Software","2024-07-18 09:21:21.619952+05:30"
"92","KPRMILL","K.p.r. Mill Limited",532889,"0.8","878","8045","2024-07-18","09:21:17","Readymade Garments/ Apparells","2024-07-18 09:21:21.619952+05:30"
"93","ZENSARTECH","Zensar Technologies Limited",504067,"2.37","797.65","78277","2024-07-18","09:21:17","IT - Software","2024-07-18 09:21:21.619952+05:30"
"94","ABSLAMC","Aditya Birla Sun Life AMC Ltd",543374,"2.71","726.75","68478","2024-07-18","09:21:17","Finance","2024-07-18 09:21:21.619952+05:30"
"95","STEELCAS","Steelcast Ltd",513517,"1.44","662.05","410","2024-07-18","09:21:17","Castings, Forgings & Fastners","2024-07-18 09:21:21.619952+05:30"
"96","MONARCH","Monarch Networth Capital Ltd",511551,"1.3","580","4116","2024-07-18","09:21:17","Stock/ Commodity Brokers","2024-07-18 09:21:21.619952+05:30"
"97","SHAREINDIA","Share India Securities Ltd",540725,"0.62","316.15","63847","2024-07-18","09:21:17","Stock/ Commodity Brokers","2024-07-18 09:21:21.619952+05:30"
"98","CYBERTECH","Cybertech Systems And Software Limited",532173,"-0.96","199.33","11201","2024-07-18","09:21:17","IT - Software","2024-07-18 09:21:21.619952+05:30"
"99","GEOJITFSL","Geojit Financial Services",532285,"0.64","118.42","59354","2024-07-18","09:21:17","Stock/ Commodity Brokers","2024-07-18 09:21:21.619952+05:30"
"100","ESABINDIA","Esab India Limited",500133,"2.1","6449.75","1823","2024-07-18","09:24:19","Capital Goods-Non Electrical Equipment","2024-07-18 09:24:36.284399+05:30"
"101","MARICO","Marico Limited",531642,"1.44","676.95","338196","2024-07-18","09:26:08","Edible Oil","2024-07-18 09:26:27.651497+05:30"
"102","GPIL","Godawari Power And Ispat Limited",532734,"-0.49","1147.2","58166","2024-07-18","09:29:16","Steel","2024-07-18 09:29:23.340376+05:30"
