"id","nsecode","name","bsecode","per_chg","close","volume","date","time","igroup_name","create_at"
"37","MRPL","Mangalore Refinery And Petrochemicals Limited",500109,"-0.11","241.65","2136349","2024-07-12","09:56:26","Refineries","2024-07-12 09:56:26.400407+05:30"
"38","GPPL","Gujarat Pipavav Port Limited",533248,"1.21","239.5","4077595","2024-07-12","09:56:26","Marine Port & Services","2024-07-12 09:56:26.400407+05:30"
"39","IRFC","Indian Railway Finance Corporation Ltd",543257,"2.63","211.4","47690844","2024-07-12","09:56:26","Finance","2024-07-12 09:56:26.400407+05:30"
"40","CESC","Cesc Limited",500084,"-0.75","190.46","2598962","2024-07-12","09:56:26","Power Generation & Distribution","2024-07-12 09:56:26.400407+05:30"
"41","WELSPUNLIV","Welspun Living Ltd",514162,"-0.38","173.6","3394094","2024-07-12","09:56:26","Textiles","2024-07-12 09:56:26.400407+05:30"
"42","SJVN","Sjvn Limited",533206,"2.78","154.11","36083744","2024-07-12","09:56:26","Power Generation & Distribution","2024-07-12 09:56:26.400407+05:30"
"43","NHPC","Nhpc Limited",533098,"1.95","116.3","52303613","2024-07-12","09:56:26","Power Generation & Distribution","2024-07-12 09:56:26.400407+05:30"
"44","MMTC","Mmtc Limited",513377,"4.66","89.82","5858573","2024-07-12","09:58:33","Trading","2024-07-12 09:58:33.20891+05:30"
"45","EIDPARRY","Eid Parry India Limited",500125,"2.76","803.4","706187","2024-07-12","10:05:41","Sugar","2024-07-12 10:05:41.626498+05:30"
"46","CAMS","Computer Age Management Services Ltd",543232,"0.32","4128.65","104367","2024-07-12","10:19:35","Financial Services","2024-07-12 10:19:35.912124+05:30"
"47","RITES","Rites Ltd",541556,"5.64","762.8","2692773","2024-07-12","10:25:30","Infrastructure Developers & Operators","2024-07-12 10:25:30.410907+05:30"
"48","TCS","Tata Consultancy Services Limited",532540,"3.6","4065.1","3756551","2024-07-12","10:46:20","IT - Software","2024-07-12 10:46:20.518481+05:30"
"49","LTIM","LTI Mindtree Ltd",540005,"3.28","5584.7","377838","2024-07-12","10:47:34","IT - Software","2024-07-12 10:47:34.493861+05:30"
"50","EPL","EPL Ltd",500135,"3.28","240.31","827181","2024-07-12","10:58:14","Packaging","2024-07-12 10:58:14.671955+05:30"
"51","COFORGE","Coforge (Niit Tech)",532541,"5.61","5875.4","555260","2024-07-12","11:23:27","IT - Software","2024-07-12 11:23:27.417628+05:30"
"52","KPITTECH","KPIT Technologies Ltd",542651,"4.59","1788.35","1138538","2024-07-12","11:51:41","IT - Software","2024-07-12 11:51:41.861258+05:30"
"53","WIPRO","Wipro Limited",507685,"4.55","558.4","13633481","2024-07-12","11:51:41","IT - Software","2024-07-12 11:51:41.861258+05:30"
"54","ZENSARTECH","Zensar Technologies Limited",504067,"8.21","777","2434405","2024-07-12","12:02:37","IT - Software","2024-07-12 12:02:37.533574+05:30"
"55","PERSISTENT","Persistent Systems Limited",533179,"5.59","4876.4","596768","2024-07-12","12:06:23","IT - Software","2024-07-12 12:06:23.224866+05:30"
"56","ECLERX","Eclerx Services Limited",532927,"4.76","2639.9","52651","2024-07-12","12:12:36","IT - Software","2024-07-12 12:12:36.913378+05:30"
"57","MANAPPURAM","Manappuram Finance Limited",531213,"3.71","220.66","10037130","2024-07-12","12:58:16","Finance","2024-07-12 12:58:16.816151+05:30"
"58","SUNTV","Sun Tv Network Limited",532733,"0.38","814.8","2645879","2024-07-12","13:41:11","Entertainment","2024-07-12 13:41:11.76944+05:30"
"59","DALBHARAT","Dalmia Bharat Limited",533309,"2.66","1915.2","386234","2024-07-12","13:48:12","Cement","2024-07-12 13:48:12.248346+05:30"
"60","SONATSOFTW","Sonata Software Limited",532221,"6.84","667.25","2245742","2024-07-12","14:26:28","IT - Software","2024-07-12 14:26:28.271602+05:30"
"61","HCLTECH","Hcl Technologies Limited",532281,"3.45","1564","4863366","2024-07-12","14:30:37","IT - Software","2024-07-12 14:30:37.287605+05:30"
"62","BSOFT","Birlasoft Ltd",532400,"5.11","731.6","7436373","2024-07-12","14:40:29","IT - Software","2024-07-12 14:40:29.038437+05:30"
"63","GODREJCP","Godrej Consumer Products Limited",532424,"0.95","1454.6","468106","2024-07-12","14:48:17","FMCG","2024-07-12 14:48:17.210207+05:30"
"64","SAFARI","Safari Industries (India) Ltd",523025,"6.15","2260.25","20096","2024-07-15","09:22:07","Plastic products","2024-07-15 09:22:07.174095+05:30"
"65","TANLA","Tanla Solutions Limited",532790,"7.39","1023.2","562005","2024-07-15","09:25:12","IT - Software","2024-07-15 09:25:12.892337+05:30"
"66","ROUTE","Route Mobile Ltd",543228,"7.37","1905.8","200971","2024-07-15","09:42:09","IT - Software","2024-07-15 09:42:09.665164+05:30"
"67","MAPMYINDIA","C.E. Info Systems Ltd",543425,"10.82","2686.8","545031","2024-07-15","09:50:41","IT - Software","2024-07-15 09:50:41.597533+05:30"
"68","VTL","Vardhman Textiles Limited",502986,"7.61","561.95","286123","2024-07-15","09:53:14","Textiles","2024-07-15 09:53:14.389638+05:30"
"69","ZENSARTECH","Zensar Technologies Limited",504067,"8.83","837.7","3047851","2024-07-15","10:06:26","IT - Software","2024-07-15 10:06:26.20151+05:30"
